Year,US_30_yr_FRM,US_15_yr_FRM,US_5/1_ARM
2010,4.689807692307693,4.095576923076923,3.824807692307692
2011,4.4478846153846145,3.6842307692307705,3.3109615384615383
2012,3.657500000000001,2.9344230769230757,2.7848076923076923
2013,3.9755769230769222,3.100769230769232,2.877884615384615
2014,4.168867924528302,3.286037735849057,3.019245283018867
2015,3.8505769230769222,3.0874999999999995,2.9390384615384617
2016,3.6540384615384616,2.9307692307692315,2.876923076923077
2017,3.9898076923076924,3.2725000000000013,3.198846153846154
