,Year,Respondent_ID,Agency_Code,Loan_Type,Property_Type,Loan_Purpose,Occupancy,Amount,Action_Type,State_Code,County_Code,Income,Purchaser_Type ,Denial_Reason_1,Property_Location,USPS_Code,GDP,Real_State_Growth_%,Rate,PMT,IncRat,Unemployemnt,AmorTerm
8072,2017,451965.0,9,1,1,1,1,116.0,1,45,31,71,0,,South Carolina,SC,217.8,2.1,3.989807692307693,553.1203443292491,93.485128619028,4.3,360
8075,2017,451965.0,9,1,1,1,1,146.0,1,25,27,73,0,,Massachusetts,MA,528.0,2.1,3.989807692307693,696.1687092419859,114.43869193018946,3.7,360
8081,2017,451965.0,9,1,1,1,1,400.0,1,2,110,191,0,,Alaska,AK,50.1,-1.9,3.989807692307693,1907.3115321698242,119.8310910263764,7.2,360
8082,2017,451965.0,9,1,1,1,1,110.0,1,34,25,48,0,,New Jersey,NJ,600.2,1.6,3.989807692307693,524.5106713467017,131.1276678366754,4.6,360
8084,2017,451965.0,9,1,1,1,1,38.0,3,48,251,33,0,1.0,Texas,TX,,1.1,3.989807692307693,181.19459555613332,65.88894383859393,4.3,360
8090,2017,451965.0,9,1,1,1,1,219.0,1,42,101,65,0,,Pennsylvania,PA,746.0,1.5,3.989807692307693,1044.2530638629787,192.7851810208576,4.9,360
8092,2017,451965.0,9,1,1,1,1,216.0,1,18,89,63,0,,Indiana,IN,352.3,1.8,3.989807692307693,1029.9482273717051,196.18061473746764,3.5,360
8099,2017,451965.0,9,1,1,1,1,98.0,3,12,11,43,0,1.0,Florida,FL,968.0,2.7,3.989807692307693,467.29132538160695,130.4068815018438,4.2,360
8104,2017,451965.0,9,1,1,1,1,329.0,1,2,122,164,0,,Alaska,AK,50.1,-1.9,3.989807692307693,1568.7637352096804,114.78759038119613,7.2,360
8107,2017,451965.0,9,1,1,1,1,129.0,1,48,139,96,0,,Texas,TX,,1.1,3.989807692307693,615.1079691247683,76.88849614059603,4.3,360
8120,2017,451965.0,9,1,1,1,2,337.0,1,6,59,201,0,,California,CA,,2.6,3.989807692307693,1606.909965853077,95.93492333451206,4.8,360
8121,2017,451965.0,9,1,1,1,2,201.0,3,4,13,58,0,1.0,Arizona,AZ,314.7,2.2,3.989807692307693,958.4240449153367,198.29462998248346,4.9,360
