,Year,Respondent_ID,Agency_Code,Loan_Type,Property_Type,Loan_Purpose,Occupancy,Amount,Action_Type,State_Code,County_Code,Income,Purchaser_Type ,Denial_Reason_1,Property_Location,USPS_Code,GDP,Real_State_Growth_%,Rate,PMT,IncRat,Unemployemnt,AmorTerm
7352,2017,451965.0,9,1,1,1,1,85.0,3,8,31,56,0,1.0,Colorado,CO,335.0,2.1,3.989807692307693,405.3037005860877,86.85079298273307,2.8,360
7354,2017,451965.0,9,1,1,1,1,175.0,1,39,49,87,0,,Ohio,OH,646.5,1.9,3.989807692307693,834.4487953242981,115.09638556197216,5.0,360
7362,2017,451965.0,9,1,1,1,1,272.0,1,26,163,140,0,,Michigan,MI,504.9,2.0,3.989807692307693,1296.9718418754805,111.16901501789833,4.6,360
7363,2017,451965.0,9,1,1,1,1,162.0,3,26,129,28,0,1.0,Michigan,MI,504.9,2.0,3.989807692307693,772.4611705287788,331.05478736947657,4.6,360
7381,2017,451965.0,9,1,1,1,1,98.0,1,17,19,36,0,,Illinois,IL,815.5,1.4,3.989807692307693,467.29132538160695,155.7637751272023,5.0,360
7389,2017,451965.0,9,1,1,1,1,82.0,3,4,3,87,0,3.0,Arizona,AZ,314.7,2.2,3.989807692307693,390.998864094814,53.93087780618124,4.9,360
7393,2017,451965.0,9,1,1,1,1,259.0,3,41,17,189,0,3.0,Oregon,OR,236.8,2.9,3.989807692307693,1234.9842170799614,78.41169632253722,4.1,360
7394,2017,451965.0,9,1,1,1,1,194.0,1,26,161,84,0,,Michigan,MI,504.9,2.0,3.989807692307693,925.0460931023648,132.1494418717664,4.6,360
7398,2017,451965.0,9,1,1,1,1,285.0,3,6,37,82,0,3.0,California,CA,,2.6,3.989807692307693,1358.9594666709997,198.87211707380484,4.8,360
7402,2017,451965.0,9,1,1,1,1,220.0,3,32,3,81,0,9.0,Nevada,NV,153.7,2.3,3.989807692307693,1049.0213426934033,155.4105692879116,5.0,360
7409,2017,451965.0,9,1,1,1,1,195.0,3,41,39,41,0,1.0,Oregon,OR,236.8,2.9,3.989807692307693,929.8143719327893,272.14079178520666,4.1,360
7410,2017,451965.0,9,1,1,1,1,129.0,3,12,57,60,0,3.0,Florida,FL,968.0,2.7,3.989807692307693,615.1079691247683,123.02159382495365,4.2,360
7414,2017,451965.0,9,1,1,1,2,379.0,1,37,189,305,0,,North Carolina,NC,537.0,1.9,3.989807692307693,1807.1776767309084,71.1020725271177,4.6,360
7416,2017,451965.0,9,1,1,1,1,144.0,3,36,91,69,0,3.0,New York,NY,,1.3,3.989807692307693,686.6321515811368,119.41428723150204,4.7,360
7429,2017,451965.0,9,1,1,1,1,385.0,3,45,63,121,0,1.0,South Carolina,SC,217.8,2.1,3.989807692307693,1835.7873497134558,182.0615553434832,4.3,360
